30,138
135,56,9.827,58.863,3,3,42,9.827,3
136,72,36.575,61.737,1,1,138,36.913,2
137,104,9.827,61.856,2,2,138,36.913,0
138,51,9.827,58.535,2,2,42,9.827,2
139,138,9.827,61.650,0,0,138,36.913,0
140,95,9.827,59.493,2,2,138,36.913,2
141,75,9.827,60.992,3,3,45,9.827,3
142,62,9.827,57.757,0,0,43,9.827,0
143,60,9.827,61.691,0,0,43,9.827,0
144,96,9.827,60.635,2,2,138,36.913,2
145,68,9.827,60.257,0,0,43,9.827,0
146,138,9.827,61.477,1,1,138,36.913,3
147,54,9.827,54.495,2,2,42,9.827,2
148,49,9.827,56.921,1,1,42,9.827,1
149,60,9.827,61.765,1,1,43,9.827,1
150,56,9.827,58.277,0,0,42,9.827,0
151,72,9.827,60.812,2,2,138,36.913,2
152,59,9.827,60.021,0,0,42,9.827,0
153,60,9.827,59.101,2,2,44,9.827,2
154,117,9.827,61.009,3,1,138,36.913,3
155,124,9.827,59.109,0,0,138,36.913,0
156,82,9.827,62.798,0,3,138,64.000,1
157,66,9.827,61.417,0,0,43,9.827,0
158,119,9.827,62.143,2,1,138,36.913,2
159,62,9.827,60.838,0,0,43,9.827,0
160,59,9.827,60.138,3,3,43,9.827,3
161,73,9.827,62.500,0,3,44,9.827,0
162,60,9.827,61.275,0,0,43,9.827,0
163,52,9.827,59.890,0,0,42,9.827,0
164,66,9.827,58.982,2,2,43,9.827,2
165,72,9.827,59.901,3,3,43,9.827,3
166,61,9.827,61.657,0,0,43,9.827,0
167,67,9.827,61.609,0,0,45,9.827,0
168,72,9.827,62.846,0,0,138,36.913,0
169,94,9.827,63.062,2,2,45,9.827,2
170,64,9.827,61.202,3,3,43,9.827,3
171,61,9.827,61.033,0,0,43,9.827,0
172,59,9.827,60.260,1,1,42,9.827,1
173,57,9.827,56.223,3,3,42,9.827,3
174,71,36.913,62.824,3,1,138,36.913,3
175,82,36.913,61.632,2,1,138,36.913,2
176,67,9.827,62.116,1,1,43,9.827,1
177,51,9.827,58.885,3,3,42,9.827,3
178,61,9.827,60.612,3,3,42,9.827,3
179,71,9.827,62.316,3,3,44,9.827,3
180,56,9.827,58.441,0,0,42,9.827,0
181,56,9.827,60.411,0,0,42,9.827,0
182,61,36.862,61.605,0,2,138,36.913,0
183,60,9.827,60.176,0,0,43,9.827,0
184,54,9.827,58.693,1,1,42,9.827,1
185,54,9.827,58.731,2,2,42,9.827,2
186,90,9.827,62.009,0,3,43,9.827,3
187,52,9.827,56.671,1,1,42,9.827,1
188,49,9.827,54.831,3,3,41,9.827,3
189,55,9.827,57.615,3,3,42,9.827,3
190,73,9.827,61.954,0,2,138,36.913,0
191,84,9.827,60.773,0,0,138,36.913,0
192,50,9.827,57.091,2,2,42,9.827,2
193,57,9.827,59.935,2,2,42,9.827,2
194,85,36.677,61.359,2,1,44,9.827,1
195,55,9.827,59.300,3,3,42,9.827,3
196,81,9.827,61.938,2,2,138,36.913,2
197,60,9.827,58.814,1,1,42,9.827,1
198,94,36.913,61.571,3,3,138,36.913,3
199,71,36.846,61.278,1,1,138,36.913,3
200,114,9.827,59.412,2,2,138,36.913,2
%%
1865
3548
11816
10107
33882
24945
68760
81024
61406
71262
45436
53508
64561
31260
17036
6071
1320
0
0
